video id,initial time,final time,question,answer
mnqSG5o84NE,0,48.24,a man train a boy kick box while [blank] men watch sitting in the room .,two
mnqSG5o84NE,0,48.24,a man train a boy kick box while two men watch sitting in the [blank] .,room
74EoyLUbtgI,21.4,29.96,we see the [blank] hanging on the wall .,cloth
D9rHZpZoeRA,0,29.36,a black two [blank] audi a3 is shown .,door
D9rHZpZoeRA,67.84,114.41,the [blank] is opened .,truck
D9rHZpZoeRA,114.41,150.86,he then lifts the [blank] and continues to loosen the bolts on the wheel of the car .,car
D9rHZpZoeRA,149.85,202.5,the [blank] is removed .,wheel
WY9zvUkK_4Y,4.07,54.97,[blank] girls stand between a girl in a hair salon stool and begin brushing her and parting her hair .,two
WY9zvUkK_4Y,53.95,184.25,[blank] woman braids her hair continuously to eventually create a french braid .,one
N-6-MdxRg50,0,5.38,we see a colorful [blank] scene .,opening
uFMDSiHu7g4,0,13.59,a man wearing a striped [blank] dances with a girl in a brown blouse at a street festival .,shirt
uFMDSiHu7g4,0,13.59,a man wearing a striped shirt dances with a girl in a [blank] blouse at a street festival .,brown
Pu92wJ-7UTQ,1.24,12.72,the man is strumming one [blank] .,drum
Pu92wJ-7UTQ,1.24,12.72,the man is strumming [blank] drum .,one
Pu92wJ-7UTQ,11.48,31.02,the man strum the other [blank] while moving his leg .,drum
Pu92wJ-7UTQ,27.92,62.04,the man play [blank] drums at the same time .,two
dsVvnFkGAn0,63.76,82.8,the lady put the [blank] on her lap and talked .,violin
JgHQCKz_DRc,3.12,88.44,a man sits in a [blank] as he is getting his hair cut .,chair
JgHQCKz_DRc,3.64,27.57,a man in a [blank] shirt moves a light around .,black
8ikOQRbeQL8,19.17,132.22,she is holding a [blank] and twirling it in her hands .,baton
iMiKGoQ7RjE,0,35.81,a man in a black hat is hitting a [blank] on the grass with a club .,ball
iMiKGoQ7RjE,0,35.81,a man in a [blank] hat is hitting a ball on the grass with a club .,black
BB2vrBWgXkU,176.06,196.72,she also uses some lime [blank] nail polish and paints the nails to finish off the process and make them shiny .,green
S6t9Lq1xKJk,10.25,30.6,"the man creates a giant [blank] , finally flipping it onto a plate and handing it to a patron .",omelette
0_xap_BBDrw,0.72,48.02,"an old man with [blank] hair , wearing red shirt and black pants is dribbling the ball in an indoor court , he dribbled the ball side by side , between his legs .",gray
0_xap_BBDrw,0.72,48.02,"an old man with gray hair , wearing [blank] shirt and black pants is dribbling the ball in an indoor court , he dribbled the ball side by side , between his legs .",red
0_xap_BBDrw,0.72,48.02,"an old man with gray hair , wearing red shirt and [blank] pants is dribbling the ball in an indoor court , he dribbled the ball side by side , between his legs .",black
0_xap_BBDrw,27.61,48.02,"he shoot the [blank] into the ring , then start dribbling again to side to side and between his legs , and shoot the [blank] into the ring .",ball
QdmUojrWdmE,21.72,24.01,a [blank] rides over the shoreline where the surfers are riding .,helicopter
QdmUojrWdmE,129.19,201.21,the crowd [blank] multiples surfing runs on .,cheers
bdC2YPVHGZM,112.83,131.17,the [blank] teams shake hands after the game .,two
bdC2YPVHGZM,131.87,141.04,the man walks towards a group of people dressed in [blank] .,black
fny1HWXezlE,30.41,77.47,a man stands the [blank] up on it 's legs and walks around the area .,camel
kNkYgYnJTXk,1.01,46.58,a person is seen in various shots riding around in a [blank] and smiling off into the distance .,canoe
kNkYgYnJTXk,50.63,141.77,another person is seen sitting in a [blank] and demonstrates how to properly turn around .,canoe
cMeKc9mp9wI,17.07,21.41,[blank] man comes close to the camera man and near the crowd for a few moments .,one
90LkAH4tZC4,0,161.45,the person in black shirt is playing [blank] .,drums
90LkAH4tZC4,0,161.45,the person in [blank] shirt is playing drums .,black
F9HKxxoNNSQ,14.31,19.68,"then , another [blank] slides on the floor to stop inside the triangle .",disk
F9HKxxoNNSQ,19.9,35.33,"after , the person throw another [blank] that stops inside the triangle .",disc
L0jbYqV9Zaw,11.26,27.21,[blank] are flying at men in front of a tent .,paintballs
L0jbYqV9Zaw,129.5,152.03,[blank] come out of a man 's mouth .,paintballs
L0jbYqV9Zaw,160.47,182.99,the [blank] is setting .,sun
NSdBL6HqlWk,0,13.34,a man is playing [blank] under a bright light on a stage .,cymbals
h4m7bYDVLAc,0.37,23.05,several people around her are [blank] and ca n't help but laugh .,watches
h4m7bYDVLAc,20.18,24.17,the woman is laughing as well and finally hits the [blank] for the children to grab .,pinata
dbR5AzEZOPE,0,10.55,[blank] man are standing in a gym talking to each other .,three
dbR5AzEZOPE,10.55,41.25,men opens the wooden [blank] and enters in the gym and are watching the first men .,door
dbR5AzEZOPE,10.55,41.25,"men opens the wooden door and enters in the [blank] and are watching the first men , and they panicked .",gym
KE2tDW9x9d8,46.7,165.49,she then mixes the [blank] together on a slice of bread and creates a [blank] while pouring chips out onto the side .,sandwich
KE2tDW9x9d8,162.45,203.06,she then presents the [blank] while speaking to the camera and holding up various liquids .,plate
qxlVkDpdyOA,0,118.75,we see [blank] men walking and jumping on jump-stilts .,two
qxlVkDpdyOA,4.75,46.31,[blank] man jumps down the road .,one
qxlVkDpdyOA,96.19,112.22,four [blank] ride past the men .,bicycles
qxlVkDpdyOA,96.19,112.22,[blank] bikes ride past the men .,four
B3ZVUyLeT84,53.54,55.03,men stand in the beach holding [blank] .,surfboards
p1JSdZmztGk,5.6,79.57,[blank] people are seen speaking to one another while standing on the docks as well as speak to the camera .,two
p1JSdZmztGk,59.4,184.92,the man preparing a [blank] .,boat
x3z3dVUxmJ0,39.97,47.18,a person is applying [blank] to braids .,rods
HhbTyPnFVIg,17.59,27.64,the woman enters an open [blank] area .,workshop
qCnHgcP3tM8,0,11.76,[blank] are driving down the highway fairly quickly .,cars
qCnHgcP3tM8,24.21,80.93,they go into a bar and throw a [blank] into a girls drink starting a beer pong war .,ball
qCnHgcP3tM8,80.93,138.35,he wakes up in his [blank] and then click on his ipad to start a beer pong championship .,dorm
EwMAJPldfKs,0,10.67,a young lady with a [blank] jacket on is standing in front of a sink lathering her hands .,gray
EwMAJPldfKs,21.19,31.86,"after that is done , she grabs a white [blank] , dries her hands and wipes her mouth .",towel
EwMAJPldfKs,21.19,31.86,"after that is done , she grabs a [blank] towel , dries her hands and wipes her mouth .",white
QeVVKZhoFCg,42.37,98.18,she then puts [blank] on followed by mascara and lip liner .,eyeliner
TBeZXLchito,154.28,167.81,people continues skateboarding in the [blank] .,road
tgdLeBX7aXk,0,18.76,people are playing [blank] together outside .,cricket
wBhtt9x74TA,1,25.12,a man is rubbing [blank] onto her legs .,sunscreen
HfowLX1u38Y,0,59.14,man wearing a purple [blank] is holding a gas [blank] .,pipe
HfowLX1u38Y,0,59.14,man wearing a [blank] shirt is holding a gas pipe .,purple
HfowLX1u38Y,15.87,62.25,the man is using the [blank] to light up the woodfire .,pipe
WBkqGBFsdgI,24.85,43.64,various [blank] are shown of shuffleboard history .,pictures
TgDzZIop_uw,5.78,8.3,a pair of hands is seen yielding a metal tool over a [blank] walled tire lying on a flat surface .,yellow
TgDzZIop_uw,16.09,41.99,"the hand then uses a metal , [blank] , tool to insert a new valve into the tire .",black
MKmrqcoCZ-M,4.92,23.19,a man is sitting on a [blank] mat in a gym .,black
GffGGAwbcHo,7.96,12.35,a caveman is seen walking a [blank] rock .,purple
GffGGAwbcHo,12.62,14.27,the [blank] eats the caveman .,dog
GffGGAwbcHo,15.64,22.5,a god walks a [blank] .,poodle
GffGGAwbcHo,22.78,27.72,a cowboy walks his [blank] and is shot outside a saloon .,dog
GffGGAwbcHo,33.75,42.81,a hippie [blank] lies down on the floor and seems to be hallucinating .,dog
E3h0UHRsSQk,0,89.71,a man wearing a black [blank] is sharpening the knife on a stone .,clothes
E3h0UHRsSQk,0,89.71,a man wearing a [blank] clothes is sharpening the knife on a stone .,black
E3h0UHRsSQk,21.44,27.65,the man beside him on [blank] long sleeves drawing something on the table with his finger .,blue
E3h0UHRsSQk,46.27,58.68,the man in navy blue shirt point to the knife while the man sharpening the knife tries to sharpen it [blank] hand .,one
E3h0UHRsSQk,46.27,58.68,the man in navy [blank] shirt point to the knife while the man sharpening the knife tries to sharpen it one hand .,blue
E3h0UHRsSQk,100.44,112.85,throws the old and dirty paper [blank] and reach the roll of paper towel and clean the [blank] .,knife
-ibmoYKRxQk,45.71,90.82,the people laugh while riding down the hill when [blank] person falls off and the camera pans around the people .,one
-ibmoYKRxQk,100.57,121.91,the camera shows [blank] more shot of the people all riding down the long hill together .,one
x2FfKHiN_3s,13.5,76.52,"a [blank] pulls his [blank] into the water , disappearing with it .",pole
LNlGgtg70uQ,45.74,64.28,next she shakes everything up and strains the [blank] into the cocktail cup .,drink
59mz2Nd8GM0,76.9,159.38,he then mixes an egg and milk together and puts the [blank] into the mix .,sandwich
HHDMFrN7vFs,0,0.11,a man in a [blank] shirt is sitting at an exercise bike .,red
HHDMFrN7vFs,0.18,4.44,there are other [blank] next to him .,bicycles
MiTIi_QYt2k,81.69,110.62,more [blank] are mixed afterwards that leads into more wiping down with the rag .,ingredients
56m7PcBuUFc,0,14.33,a girl is pushing [blank] little boys on a backyard swing .,two
eAOBdYKju70,35.89,52.99,a girl wraps the [blank] around her saddle while others practice on placed saddles .,rope
szW1c2SGdew,0,8.86,we see an [blank] screen .,opening
szW1c2SGdew,8.86,116.6,[blank] men are in two different rooms performing capoeira moves .,two
szW1c2SGdew,122.05,136.37,we see [blank] screens with images of men doing capoeira .,four
5kIl4TspdR0,31.89,66.62,they wear [blank] so they make sure to scrub all around very well .,braces
eMB9L-LDK1E,0,52.52,a person sprays a [blank] and wipes it with a towel .,sink
eMB9L-LDK1E,85.59,129.68,they spray a [blank] and wipe it with a toilet .,toilet
UUjXw1xjprU,52.55,86,there a young man wearing a red [blank] talking about a skateboarding event at red bull skate arcade .,hat
UUjXw1xjprU,52.55,86,there a young man wearing a [blank] hat talking about a skateboarding event at red bull skate arcade .,red
QooDDNWaQjU,5,60.88,the [blank] catches the frisbee and brings it back to the trainer .,dog
TF591ByrGYk,14.72,36.92,the boy then approached the [blank] and does a series of swings and hand stand in the air .,bars
95pMelnv2dQ,5.08,6.95,it hits the [blank] .,net
y_HCdBEJbNE,27.36,29.79,we see the [blank] the man is walking on .,stilts
RWjCwIOuzrc,0,13.48,is a man nodding in the first [blank] .,frame
RWjCwIOuzrc,13.48,49.78,"the video movies to the man putting up the [blank] paper by first measuring it out , lining up the pattern and putting it up on the wall .",wall
RWjCwIOuzrc,101.64,149.35,"the camera shows wall paper in a finished [blank] , going over different rooms with different wall papers .",room
RWjCwIOuzrc,191.87,204.31,then it shows [blank] tables that look like they have also been wall papered .,two
Fk0z6MeCV0I,14.92,36.29,"as they are in line , [blank] girl is in the middle of a game of hop scotch , turns around , finishes and gets back in line .",one
_4licRHiRRs,28.86,87.17,the [blank] is seen in several clips chasing after a frisbee .,dog
_4licRHiRRs,79.95,116.02,a man throws the [blank] to the dog in the yard who continues chasing after him .,frisbee
XHMrvd3sKzE,0,5.74,two kids are climbing a [blank] wall .,rock
XHMrvd3sKzE,0,5.74,[blank] kids are climbing a rock wall .,two
UZ9D6DhrmDI,0.66,24.6,a person solves a [blank] puzzle flipping the [blank] around .,pieces
UZ9D6DhrmDI,24.76,33.02,the person solves the puzzle and show a [blank] .,chronometer
s9Wop4PMZaw,0.64,21.47,[blank] young children are seen riding on a camel past a group of people and a man leading them along .,two
2N129Bw1jiQ,0,10.42,young children are seen jumping on a mat back and fourth while [blank] older women watch them on the side .,two
zgdT41KjjrE,15.37,21.28,a person leads a [blank] .,horse
zgdT41KjjrE,30.74,236.43,the guy pats the [blank] and goes [blank] riding .,horseback
zgdT41KjjrE,87.48,236.43,people go [blank] riding down a trail .,horseback
lQq_JPRFEMw,95.37,102.25,a woman in a [blank] coat is talking to the camera .,blue
sRgBK2_nb0I,9.03,11.42,the man mounts the pommel [blank] .,horse
jnnHUCs-t3o,22.67,26.52,"they hit the [blank] back and forth , trying to keep it from each other .",ball
3NSikmqK3Ys,0,44.61,man is standing in front of a motorbike and puts a [blank] lid in the black leathe seat .,toilet
3NSikmqK3Ys,0,44.61,man is standing in front of a motorbike and puts a toilet lid in the [blank] leathe seat .,black
3NSikmqK3Ys,44.61,67.59,the man is driving the [blank] thorugh the street and a dog is running next to him .,motorcycle
3NSikmqK3Ys,13.86,16.9,the man opens the [blank] trunk and close it .,motorcycle
TOfBNYOlv8c,83,86.01,the camera zooms in on the drink and fades to [blank] to end the video .,black
hlwSgE7Epwo,103.11,117.17,the girl continues to practice by herself in the [blank] .,studio
21krmbuT21s,0,3.19,[blank] gymasts are performing in front of a crowd .,two
21krmbuT21s,50.22,58.06,"the man dismounts , and puts [blank] victorious arm up into the air .",one
1JHqxhajh60,0,99.85,a hand is holding a [blank] head close to a dog .,shower
1JHqxhajh60,0.5,99.35,the [blank] moves around the bathtub as he tries to bite the water being splashed on him .,dog
9V7cMp_w1_0,147.47,150.12,a [blank] drives away from the camera .,car
9V7cMp_w1_0,151.89,166.9,[blank] people talk to the camera .,two
9V7cMp_w1_0,166.9,176.61,a [blank] drives away from the camera .,truck
NOxiMgQMeuk,35.32,88.29,she uses green [blank] to fill in a drawing of a plant .,paint
NOxiMgQMeuk,35.32,88.29,she uses [blank] paint to fill in a drawing of a plant .,green
6tveUnZe7WA,0,19.24,a [blank] male is dressed outside in a scotland uniform standing outside in the middle of a cemetery .,white
6tveUnZe7WA,19.24,43.28,"as he is standing , he plays the [blank] pipes with the american flag hanging down from them .",bag
jzDXtd0__DM,107.45,174.26,the [blank] hold on and then jump off the side while the others stand and watch .,coupe
vX8L1RcZ4cc,21.03,37.06,he is a blue [blank] being judged for his skills .,belt
vX8L1RcZ4cc,21.03,37.06,he is a [blank] belt being judged for his skills .,blue
vX8L1RcZ4cc,39.69,52.57,the judges throw up their [blank] .,flags
FhbsTTHT2Zs,0,17.04,"a woman with blonde hair , a [blank] jacket and black gloves on is standing near a stable talking .",purple
FhbsTTHT2Zs,0,17.04,"a woman with blonde hair , a purple jacket and [blank] gloves on is standing near a stable talking .",black
FhbsTTHT2Zs,17.75,39.05,"as she continues talking , her [blank] is shown .",saddle
xld0M1MXNiE,1.79,6.63,he finally blows smoke [blank] out of his mouth .,rings
5IkU9svJFRI,35.15,69.6,we see [blank] title cards about starting fires for survival .,two
aDDq5ofaFHI,145.37,157.15,carrying his [blank] on his right shoulder .,skateboard
SCGQIhvDcIo,49.18,205.28,several women play [blank] at the table in revealing clothing .,pool
w-6Oo3bgms4,0,18.31,several men are playing soccer in a [blank] .,gym
k3yRK68SEDE,0,41.05,[blank] men are sitting at a table .,two
rbDbXXqaZaM,0,104.15,a man drives a mowing [blank] to cut the grass of a backyard .,machine
fynO9wmckLA,0,46.22,"[blank] young men are standing indoors , talking to the camera .",two
0MtST08F2Xc,3.87,7.37,a person in blue pants is raking some fallen [blank] from the ground .,leaves
0MtST08F2Xc,3.87,7.37,a person in [blank] pants is raking some fallen leaves from the ground .,blue
0MtST08F2Xc,7.37,12.9,there is a [blank] dog and a white dog jumping around the person raking the leaves .,black
0MtST08F2Xc,7.37,12.9,there is a black dog and a [blank] dog jumping around the person raking the leaves .,white
0MtST08F2Xc,12.9,17.88,the white [blank] is trying to bite off the rake .,dog
0MtST08F2Xc,12.9,17.88,the [blank] dog is trying to bite off the rake .,white
0MtST08F2Xc,17.88,27.28,"both the [blank] are playing around the man raking the leaves , trying to bite the rake .",dogs
AEH6JEd_03c,15.9,104.43,a [blank] is flying on the screen with words on slides .,butterfly
AEH6JEd_03c,51.95,73.69,a person is mixing ingredients in a [blank] .,bowl
AEH6JEd_03c,74.22,84.82,they spoon the [blank] onto a cookie sheet .,dough
AEH6JEd_03c,83.76,94.36,bakes [blank] are shown stacked up on a plate .,cookies
P6lwZ6gKvUw,1.37,57.35,a person is seen sitting in a [blank] and leads into her peeling a potato with a knife .,chair
JV4ss42WZG8,16.79,50.03,the person mixes various [blank] into a container of water .,ingredients
vw64k9rIi_g,0.08,15.16,a person 's hand washes a [blank] cat in a white tub of water .,gray
vw64k9rIi_g,0.08,15.16,a person 's hand washes a grey cat in a [blank] tub of water .,white
vw64k9rIi_g,0.38,8.47,"a grey [blank] is sitting in a white tub of clear water , drenched in water .",cat
vw64k9rIi_g,0.38,8.47,"a [blank] cat is sitting in a white tub of clear water , drenched in water .",gray
vw64k9rIi_g,0.38,8.47,"a grey cat is sitting in a [blank] tub of clear water , drenched in water .",white
vw64k9rIi_g,0.69,6.08,a hand with a tattoo appears and wipes the cat 's back with a [blank] cloth .,red
vw64k9rIi_g,7.08,12.32,the hand then wipes the cat 's neck and the back of its head with the [blank] cloth .,red
vw64k9rIi_g,12.39,15.09,"the hand , finally , lets the red [blank] fall into the water as the hand holds itself up to the cat 's nose .",cloth
vw64k9rIi_g,12.39,15.09,"the hand , finally , lets the [blank] cloth fall into the water as the hand holds itself up to the cat 's nose .",red
Gpocjp7hSzU,73.21,101.9,"then , the chef puts the pasta in hot water , then pours oil in a [blank] .",pan
Gpocjp7hSzU,165.21,176.09,"after , the chef adds the [blank] cheese on top the pasta and serves in a dish .",parmesan
Gpocjp7hSzU,165.21,176.09,"after , the chef adds the parmesan cheese on top the pasta and serves in a [blank] .",dish
Gpocjp7hSzU,177.08,197.86,the chef put cheese and two green leaves on top the pasta in the [blank] .,dish
BgsxbT9RCeg,15.65,22.49,a woman ballerina dressed in a pink skirt and [blank] blouse is standing in pose with her back bent forward and hands on her sides on a stage .,white
BgsxbT9RCeg,22.49,47.92,a man in [blank] jeans and a white shirt walks in and strokes her back with a yellow cloth .,blue
BgsxbT9RCeg,22.49,47.92,a man in blue jeans and a [blank] shirt walks in and strokes her back with a yellow cloth .,white
BgsxbT9RCeg,22.49,47.92,a man in blue jeans and a white shirt walks in and strokes her back with a [blank] cloth .,yellow
BgsxbT9RCeg,185.8,195.58,the crowd applauds and the man in the [blank] shirt and blue jeans lifts her up and walks off the stage .,white
BgsxbT9RCeg,185.8,195.58,the crowd applauds and the man in the white shirt and [blank] jeans lifts her up and walks off the stage .,blue
VJyNbaAz6Xs,0.84,19.26,a man in a [blank] coat is outside on a snowboard .,red
q-RNYziOHjE,0,31.46,a [blank] female is talking to the screen with long blonde curly hair and a black sweater .,black
q-RNYziOHjE,0,31.46,a black female is talking to the screen with long blonde curly hair and a [blank] sweater .,black
q-RNYziOHjE,31.46,62.92,a blow [blank] is shown .,dryer
Cjq9wf9XnX0,6.79,33.95,a lot of different lifts are stacked in the [blank] .,gym
XCXcwMyrqYM,31.01,42.73,several [blank] drive down a road behind the field .,vehicles
XCXcwMyrqYM,0,75.63,[blank] graze behind the road .,cows
JnYteBN2LDI,5.8,10.39,the man picks up a steel [blank] and pours its contents of ice into a glass .,sup
JnYteBN2LDI,18.02,24.74,the man picks up another glass with [blank] juice inside and pours it into the glass with ice before setting back down .,red
JnYteBN2LDI,35.43,38.18,"the man stops shaking and sepperates the two [blank] , setting them back on the counter .",cups
JnYteBN2LDI,35.43,38.18,"the man stops shaking and sepperates the [blank] cups , setting them back on the counter .",two
43j1BAyP6Q0,0.9,177.26,an unseen person navigates several amazon [blank] com pages on exercise equipment .,dot
tjuYS-6UC_M,0,49.4,"a [blank] hangs from a tree , as a group of girls stand in front of it .",pinata
tjuYS-6UC_M,141.51,167.46,she hits the [blank] .,pinata
MGF7I9aCPPM,0,29.65,a woman in a pink shirt is riding a cycle [blank] .,bicycle
zCI36lTmBqY,69.53,113.41,he starts to blow his smoke in a container and makes some really cool [blank] i have never seen anything like it .,circles
zCI36lTmBqY,69.53,113.41,he starts to blow his smoke in a [blank] and makes some really cool circles i have never seen anything like it .,container
LmWcpkqUurg,25.29,49.64,the man leans on the tailgate of his van and shows storage [blank] features inside .,cargo
LmWcpkqUurg,42.15,70.24,the man assembles together [blank] .,poles
LmWcpkqUurg,70.24,112.39,the man sits in the drivers seat of the van and places the [blank] frame into a socket and twists it around .,rod
LmWcpkqUurg,114.26,152.66,the man adjusts the [blank] and reaches under the van to remove a spare tire .,rod
LmWcpkqUurg,149.85,164.84,the man removes the spare [blank] from its enclosure .,tire
t8_XO-nWaYg,7.12,16.86,there are two teenage boys playing and solving the rubic 's [blank] .,cube
t8_XO-nWaYg,7.12,16.86,there are [blank] teenage boys playing and solving the rubic 's cube .,two
t8_XO-nWaYg,57.32,67.44,they both finish almost at the same time and solve the rubic 's [blank] .,cube
t8_XO-nWaYg,67.44,71.93,they proudly show off their skills in the [blank] .,camera
1BfYAuxv6Wk,10.81,16.85,she shows the [blank] required for the drink .,ingredients
1BfYAuxv6Wk,45.46,47.68,she uses a [blank] to strain the drink into a cocktail glass and places the glass on the table .,strainer
ueDoskgg2yw,0,2.26,he is using a blue [blank] to shave his face .,razor
ueDoskgg2yw,0,2.26,there 's a model whose face is completely lathered with shaving gel and he is using a [blank] razor to shave his face .,blue
ueDoskgg2yw,2.49,5.51,he is also shaving his face with a [blank] razor .,blue
v4KygkYPdp0,12.56,164.25,the person is playing the [blank] .,drums
